term,crn,course_code,subject,course_number,section,title,credits,prerequisites,days,start_time,end_time,schedule_type,instructor,building,room,max_enrollment,total_enrollment,remaining_seats
Summer 2026,31973,COMP5500,COMP,5500,14G,SENIOR PROJECT,0,COMP4950|COMP4960,TWR,05:15pm,07:00pm,Laboratory (LAB),"Othman, Salem",Beatty Hall,419,17,17,0
Summer 2026,31974,COMP5500,COMP,5500,15H,SENIOR PROJECT,4,COMP4950|COMP4960,M,05:15pm,06:05pm,Lecture (LEC),"Irfan, Muhammad",Willson Hall,105,17,17,0
Summer 2026,31975,COMP5500,COMP,5500,16H,SENIOR PROJECT,0,COMP4950|COMP4960,TWR,05:15pm,07:00pm,Laboratory (LAB),"Irfan, Muhammad",CEIS,423,17,17,0
Summer 2026,32049,COMP5600,COMP,5600,1,FOUNDATIONS OF CYBERSECURITY,3,,W,06:00pm,08:30pm,Lecture (LEC),"Neyaz, Ashar",Watson Hall,2,25,13,12
Summer 2026,32050,COMP6420,COMP,6420,1,REVERSE ENGINEERING,3,COMP6500,T,06:00pm,08:30pm,Individualized Study (IND),"Farooq, Abdullah",Annex Central,210,1,2,-1
Summer 2026,32051,COMP7800,COMP,7800,1,DATA ENGINEERING,3,,M,06:30pm,09:00pm,Lecture (LEC),"Folajimi, Yetunde",Beatty Hall,401,25,8,17
Summer 2026,31976,DATA5500,DATA,5500,01A,SENIOR DESIGN,4,,TF,03:00pm,04:45pm,Lecture (LEC),"Pang, Weijie",Dobbs Hall,302,15,3,12
Summer 2026,31978,DATA6950,DATA,6950,1,CAPSTONE II,3,DATA6900,TR,05:15pm,06:30pm,Lecture (LEC),"Pang, Weijie",Annex Central,101,15,5,10
Summer 2026,31402,MATH1776,MATH,1776,1,CALCULUS 1A,2,,MTR,05:15pm,06:25pm,Lecture (LEC),"McDonald, Christopher",Online Section,ONL,25,18,7
Summer 2026,31403,MATH1777,MATH,1777,1,CALCULUS 1B,2,MATH1776,MTR,06:45pm,07:55pm,Lecture (LEC),"McDonald, Christopher",Online Section,ONL,28,18,10
Summer 2026,31404,MATH1777,MATH,1777,2,CALCULUS 1B,2,MATH1776,MTR,05:15pm,06:25pm,Lecture (LEC),"McDonald, Christopher",Online Section,ONL,25,23,2
Summer 2026,32084,MATH1777,MATH,1777,3,CALCULUS 1B,2,MATH1776,MTR,06:45pm,07:55pm,Lecture (LEC),"Grossi, Ana Cristina",Online Section,ONL,25,14,11
Summer 2026,31405,MATH1876,MATH,1876,1,CALCULUS 2A,2,MATH1777|MATH1750,MTR,05:15pm,06:25pm,Lecture (LEC),"Meike, Everett",Online Section,ONL,28,24,4
Summer 2026,31406,MATH1876,MATH,1876,2,CALCULUS 2A,2,MATH1777|MATH1750,MTR,06:45pm,07:55pm,Lecture (LEC),"Meike, Everett",Online Section,ONL,28,19,9
Summer 2026,31407,MATH1876,MATH,1876,3,CALCULUS 2A,2,MATH1777|MATH1750,MTR,06:45pm,07:55pm,Lecture (LEC),"Sanderson, Elijah",Online Section,ONL,28,28,0
Summer 2026,31408,MATH1876,MATH,1876,4,CALCULUS 2A,2,MATH1777|MATH1750,MTR,06:45pm,07:55pm,Lecture (LEC),"McDonald, Christopher",Online Section,ONL,25,18,7
Summer 2026,31409,MATH1877,MATH,1877,1,CALCULUS 2B,2,MATH1876,MTR,05:15pm,06:25pm,Lecture (LEC),"Sanderson, Elijah",Online Section,ONL,28,23,5
Summer 2026,31410,MATH1877,MATH,1877,2,CALCULUS 2B,2,MATH1876,MTR,05:15pm,06:25pm,Lecture (LEC),"Haney, Zach",Online Section,ONL,28,22,6
Summer 2026,31411,MATH1877,MATH,1877,3,CALCULUS 2B,2,MATH1876,MTR,06:45pm,07:55pm,Lecture (LEC),"Haney, Zach",Online Section,ONL,28,19,9
Summer 2026,31412,MATH1877,MATH,1877,4,CALCULUS 2B,2,MATH1876,MTR,05:15pm,06:25pm,Lecture (LEC),"Meike, Everett",Online Section,ONL,25,23,2
Summer 2026,31413,MATH1877,MATH,1877,5,CALCULUS 2B,2,MATH1876,MTR,05:15pm,06:25pm,Lecture (LEC),"Sanderson, Elijah",Online Section,ONL,25,16,9
Summer 2026,31414,MATH1877,MATH,1877,6,CALCULUS 2B,2,MATH1876,MTR,06:45pm,07:55pm,Lecture (LEC),"Meike, Everett",Online Section,ONL,25,15,10
Summer 2026,31415,MATH1877,MATH,1877,7,CALCULUS 2B,2,MATH1876,MTR,06:45pm,07:55pm,Lecture (LEC),"Sanderson, Elijah",Online Section,ONL,25,23,2
Summer 2026,32086,MATH1877,MATH,1877,8,CALCULUS 2B,2,MATH1876,MTR,05:15pm,06:25pm,Online Sync Lecture (OLC),"Grossi, Ana Cristina",Online Section,ONL,24,13,11
